date,pmb,text
1924-01-07,228,"B.-B."
1895-06-23,91223,"Melk"
1895-06-23,531,"Wachau"
1895-06-23,41239,"Tulln"
1895-06-23,1246,"Andrä Wördern"
1895-06-23,90763,"Greifenstein"
1895-06-23,865,"Klosterneuburg"
1908-11-14,41240,"Oesterreichs"
1901-12-16,170,"Neuwaldegg"
1909-10-23,52,"Leopoldstadt"
1902-02-27,91552,"Purkersdorf"
1919-11-27,,"französ."
1919-11-27,,"Franzosen"
1919-11-27,1119,"Stockholm"
1919-11-27,,"schwed."
1919-11-27,,"Wiener"
1919-11-27,116,"Ring"
1918-10-10,20,"Volksth."
1918-10-10,151,"Deutschland"
1913-05-09,45260,"Brioni"
1913-05-09,,"Preßburger"
1903-03-10,50,"Wien"
1903-03-10,20,"Volksth."
1914-11-30,,"Berliner"
1917-08-31,34401,"Altaussee"
1916-09-06,52428,"Loser"
1916-09-06,555,"Kalksburg"
1915-10-07,531,"Wachau"
1928-09-17,168,"Berlin"
1888-07-30,224,"London"
1929-08-20,45258,"München"
1923-12-23,59367,"Schafberg"
1921-03-31,,"Loew"
1891-05-22,662,"Baden"
1891-05-22,8,"Prater"
1929-01-04,168,"Berlin"
1929-01-04,506,"Hamburg"
1898-06-20,92249,"Liechtensteingallerie"
1898-06-20,662,"Baden"
1898-06-20,462,"Venedig"
1917-01-15,43471,"Budapest"
1917-01-15,151,"Deutschland"
1906-08-16,197,"Weimar"
1906-08-16,2351,"Ilmenau"
1906-08-16,91024,"Kickelhahn"
1905-11-17,96,"Meissl"
1917-01-01,169,"Pötzleinsdorf"
1917-01-01,90705,"Gersthof"
1917-01-01,14,"Burgtheater"
1906-08-02,50,"Wien"
1906-08-02,,"Russe"
1907-07-18,1236,"Bruneck"
1921-03-25,,"Rodauner"
1921-03-25,14,"Burgtheater"
1921-03-25,40306,"Italien"
1921-03-25,,"Triestiner"
1921-03-25,,"ital."
1921-03-25,874,"Gmunden"
1898-08-19,88187,"Mürren"
1898-08-19,90769,"Grindelwald"
1898-08-19,916,"Interlaken"
1898-08-19,90396,"Brienz"
1898-08-19,91221,"Meiringen"
1899-07-03,92519,"Schönbrunn"
1899-07-03,530,"Praterstern"
1899-07-03,8,"Prater"
1929-01-10,58,"Josefstadt"
1929-01-10,,"Berl."
1928-09-03,45258,"München"
1928-09-03,168,"Berlin"
1929-06-19,189,"Semmering"
1888-07-24,92005,"Ventnor"
1888-07-24,90653,"Freshwater"
1888-07-24,91348,"Newport"
1930-03-02,168,"Berlin"
1930-03-02,,"Wiedner"
1906-01-26,169,"Pötzleinsdorf"
1906-01-26,170,"Neuwaldegg"
1906-01-26,433,"Petersburg"
1906-01-26,,"Deutscher"
1917-08-25,91239,"Michaelerberg"
1917-08-25,20,"Volksth."
1917-08-25,,"Wiedner"
1915-10-13,834,"Darmstadt"
1916-09-12,415,"Aussee"
1916-09-12,33,"St. Gilgen"
1916-09-12,213,"Ischl"
1916-09-12,34401,"Altaussee"
1898-01-15,20,"Volksth."
1889-08-16,92057,"Weichselboden"
1889-08-16,431,"Mariazell"
1921-04-04,54863,"Gumpoldskirchen"
1921-04-04,90432,"Calvarienberg"
1921-04-04,90247,"Anninger"
1921-04-04,92145,"Anningerhaus"
1921-04-04,968,"Mödling"
1921-04-04,90247,"Anninger"
1917-06-20,91739,"Sibirien"
1917-06-20,644,"Galizien"
1931-05-14,189,"Semmering"
1931-05-14,91482,"Pinkenkogel"
1898-08-31,896,"Bologna"
1898-08-31,90627,"Ferrara"
1898-08-31,44156,"Padua"
1930-04-23,168,"Berlin"
1930-04-23,96,"Meissl u. Schadn"
1880-02-24,92469,"Quaipark"
1880-02-24,90538,"Donau"
1921-03-19,92338,"Klostergasse"
1898-08-25,91089,"Küssnacht"
1898-06-08,34860,"Steindorf"
1898-06-08,40380,"Annenheim"
1899-09-12,45258,"München"
1907-09-09,40260,"Bozen"
1907-09-09,45092,"Gries"
1916-07-03,415,"Aussee"
1916-07-03,34401,"Altaussee"
1917-08-19,169,"Pötzleinsdorf"
1917-08-19,169,"Pötzleinsdorf"
1914-11-18,45594,"Kiew"
1929-06-25,189,"Semmering"
1920-05-27,,"Reichenauer"
1920-05-27,92610,"Zierleitengasse"
1920-05-27,44016,"Holland"
1888-07-18,92453,"Portland Street"
1889-08-02,55279,"Neulengbach"
1931-02-09,182,"Paris"
1921-04-10,90913,"Hütteldorf"
1921-04-10,170,"Neuwaldegg"
1928-07-12,91552,"Purkersdorf"
1928-07-12,44271,"Preßbaum"
1928-07-12,90889,"Hochroterd"
1928-07-12,90845,"Heiligenkreuz"
1928-07-12,44413,"Brühl"
1928-07-12,91552,"Purkersdorf"
1928-07-12,50,"Wien"
1904-10-09,90771,"Grinzing"
1907-09-08,58821,"St. Valentin"
1906-06-12,89410,"Pyrenäen"
1899-09-13,45258,"München"
1899-09-13,168,"Berlin"
1898-06-09,91413,"Ossiach"
1898-08-24,967,"Luzern"
1921-03-18,968,"Mödling"
1921-03-18,91217,"Mauer"
1921-03-18,91145,"Liechtenstein"
1921-03-18,44510,"Radetzky"
1921-03-18,44413,"Brühl"
1921-03-18,44510,"Radetzky"
1921-03-18,662,"Baden"
1921-03-18,,"Wiedner"
1880-02-25,92469,"Quaipark"
1931-05-01,40482,"Montreux"
